Discipline,Total_Entries
History,504
Medicine,244
Literature,212
Philology,164
Archaeology,150
Education,140
Linguistics,113
Philosophy,113
Theology,104
Sociology,97
Geography,91
Classics,86
Folklore,58
Law,57
Psychology,54
Epigraphy,54
Biology,53
Public Health,46
Anthropology,38
Biography,36
Economics,34
Physics,30
Art History,28
History Of Science,26
Musicology,18
Gender Studies,17
Chemistry,16
Political Science,16
Religion,14
Geology,14
Palaeography,14
Physiology,12
Astronomy,12
Mythology,12
Numismatics,12
Botany,12
Architecture,11
Bibliography,11
Engineering,11
Byzantine Studies,11
Travel,9
Literary Criticism,8
Aesthetics,8
Ethics,8
History Of Medicine,8
Zoology,7
Physical Education,6
Paleography,6
Theater,6
Nutrition,6
Pediatrics,6
Rhetoric,5
Mathematics,5
Cultural Studies,5
Meteorology,4
Ethnology,4
Science,4
Sigillography,4
Pedagogy,4
Agriculture,4
Natural Sciences,3
Ethnography,3
Seismology,3
Natural History,3
Publishing,3
Topography,3
Women'S Studies,3
Psychiatry,3
Demography,2
Comparative Literature,2
Mineralogy,2
Neuroscience,2
Administration,2
Dialectology,2
Library Science,2
History Of Architecture,2
Cosmology,2
Criminology,2
Toxicology,2
Earth Sciences,2
Travelogue,2
Urban Studies,2
Theatre,2
History Of Education,2
Theater Studies,2
Poetry,2
Health,2
Sports Science,2
Photography,1
Art,1
Codicology,1
Genealogy,1
Metrology,1
Diplomatics,1
Toponymy,1
Environmental Science,1
Theatre Studies,1
Drama,1
Statistics,1
Museology,1
Obstetrics,1
History Of Philosophy,1
Exploration,1
Prehistory,1
Cardiology,1
Climatology,1
Epidemiology,1
Music,1
International Relations,1
Journalism,1
Sports History,1
Mining,1
Logic,1
Historiography,1
Chronology,1
Nursing,1
History Of Geography,1
Egyptology,1
Philosophy Of Science,1
Labor Studies,1
Ophthalmology,1
Islamic Studies,1
Eugenics,1
